Mastery	Rank	Skill/Status/Name	Bonus	Implemented	Tested
Quarterstaff	1	Placeholder	Desc	❌	❌
Quarterstaff	2	Placeholder	Desc	❌	❌
Quarterstaff	3	Placeholder	Desc	❌	❌
Quarterstaff	4	Placeholder	Desc	❌	❌
Rapier	1	Placeholder	Desc	√	❌
Rapier	2	Placeholder	Desc	❌	❌
Rapier	3	Placeholder	Desc	❌	❌
Rapier	4	Placeholder	Desc	❌	❌
Runeblade	1	Placeholder	Desc	❌	❌
Runeblade	2	Placeholder	Desc	❌	❌
Runeblade	3	Placeholder	Desc	❌	❌
Runeblade	4	Placeholder	Desc	❌	❌
Scythe	1	Placeholder	Desc	❌	❌
Scythe	2	Placeholder	Desc	❌	❌
Scythe	3	Placeholder	Desc	❌	❌
Scythe	4	Placeholder	Desc	❌	❌
Shield	1	Placeholder	Desc	❌	❌
Shield	2	Placeholder	Desc	❌	❌
Shield	3	Placeholder	Desc	❌	❌
Shield	4	Placeholder	Desc	❌	❌
Staff	1	Placeholder	Desc	❌	❌
Staff	2	Placeholder	Desc	❌	❌
Staff	2	Placeholder	Desc	❌	❌
Staff	3	Placeholder	Desc	❌	❌
Staff	4	Placeholder	Desc	❌	❌
Sword	1	Placeholder	Desc	❌	❌
Sword	2	Placeholder	Desc	❌	❌
Sword	3	Placeholder	Desc	❌	❌
Sword	4	Placeholder	Desc	❌	❌
Throwing	1	Placeholder	Desc	❌	❌
Throwing	2	Placeholder	Desc	❌	❌
Throwing	3	Placeholder	Desc	❌	❌
Throwing	4	Placeholder	Desc	❌	❌
Unarmed	1	Way of the Fist	Melee weapon requirement skills can now be used while unarmed.	√	√
Unarmed	1	Unarmed Scaling 1	+30% base damage with unarmed attacks (20 -> 50 total).	√	√
Unarmed	2	Unarmed Scaling 2	+40% base damage with unarmed attacks (20 base -> 60 total)	√	√
Unarmed	3	Unarmed Scaling 3	+65% base damage with unarmed attacks (20 base -> 85 total)	√	√
Unarmed	4	Unarmed Scaling 4	+80% base damage with unarmed attacks (20 base -> 100 total)	√	√
Wand	1	Placeholder	Desc	√	❌
Wand	1	Placeholder	Desc	√	❌
Wand	2	Placeholder	Desc	❌	❌
Wand	3	Placeholder	Desc	❌	❌
Wand	4	Placeholder	Desc	❌	❌
