new itemcolor "LLWEAPONEX_Blademaster","2f2825","5a0808","b34747"
new itemcolor "LLWEAPONEX_DarkViolet","9400D3","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DeepPink","FF1493","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DeepSkyBlue","00BFFF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DimGray","696969","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DimGrey","696969","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DodgerBlue","1E90FF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_FireBrick","B22222","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_FloralWhite","FFFAF0","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_ForestGreen","228B22","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Fuchsia","FF00FF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Gainsboro","DCDCDC","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_GhostWhite","F8F8FF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Gold","FFD700","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_GoldenRod","DAA520","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Gray","808080","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Grey","808080","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Green","008000","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_GreenYellow","ADFF2F","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_HoneyDew","F0FFF0","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_HotPink","FF69B4","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_IndianRed","CD5C5C","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Indigo","4B0082","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Ivory","FFFFF0","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Khaki","F0E68C","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Lavender","E6E6FA","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LavenderBlush","FFF0F5","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LawnGreen","7CFC00","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LemonChiffon","FFFACD","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightBlue","ADD8E6","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightCoral","F08080","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightCyan","E0FFFF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightGoldenRodYellow","FAFAD2","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightGray","D3D3D3","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightGrey","D3D3D3","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightGreen","90EE90","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightPink","FFB6C1","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightSalmon","FFA07A","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightSeaGreen","20B2AA","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightSkyBlue","87CEFA","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightSlateGray","778899","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightSlateGrey","778899","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightSteelBlue","B0C4DE","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LightYellow","FFFFE0","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Lime","00FF00","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_LimeGreen","32CD32","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Linen","FAF0E6","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Magenta","FF00FF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Maroon","800000","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MediumAquaMarine","66CDAA","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MediumBlue","0000CD","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MediumOrchid","BA55D3","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MediumPurple","9370D8","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MediumSeaGreen","3CB371","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MediumSlateBlue","7B68EE","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MediumSpringGreen","00FA9A","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MediumTurquoise","48D1CC","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MediumVioletRed","C71585","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MidnightBlue","191970","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MintCream","F5FFFA","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_MistyRose","FFE4E1","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Moccasin","FFE4B5","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_NavajoWhite","FFDEAD","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Navy","000080","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_OldLace","FDF5E6","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Olive","808000","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_OliveDrab","6B8E23","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Orange","FFA500","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_OrangeRed","FF4500","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Orchid","DA70D6","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_PaleGoldenRod","EEE8AA","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_PaleGreen","98FB98","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_PaleTurquoise","AFEEEE","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_PaleVioletRed","D87093","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_PapayaWhip","FFEFD5","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_PeachPuff","FFDAB9","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Peru","CD853F","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Pink","FFC0CB","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Plum","DDA0DD","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_PowderBlue","B0E0E6","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Purple","800080","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Red","FF0000","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_RosyBrown","BC8F8F","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_RoyalBlue","4169E1","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_SaddleBrown","8B4513","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Salmon","FA8072","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_SandyBrown","F4A460","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_SeaGreen","2E8B57","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_SeaShell","FFF5EE","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Sienna","A0522D","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Silver","C0C0C0","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_SkyBlue","87CEEB","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_SlateBlue","6A5ACD","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_SlateGray","708090","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_SlateGrey","708090","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Snow","FFFAFA","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_SpringGreen","00FF7F","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_SteelBlue","4682B4","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Tan","D2B48C","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Teal","008080","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Thistle","D8BFD8","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Tomato","FF6347","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Turquoise","40E0D0","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Violet","EE82EE","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Wheat","F5DEB3","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_White","FFFFFF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_WhiteSmoke","F5F5F5","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Yellow","FFFF00","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_YellowGreen","9ACD32","c7c7c7","c7c7c7"
